run,last_step,total_steps,pct_done,train_loss_mean_last100,last_recon_test,last_scand_test,best_recon_test,best_scand_test
baseline,7650,12058,63.44335710731465,0.11358599999999999,0.1763,0.1089,0.1393,0.1051
ablate_cfg0,7600,12058,63.02869464256096,0.11293899999999998,0.173,0.1063,0.1575,0.1063
ablate_residual,7600,12058,63.02869464256096,0.10980899999999999,0.1677,0.1009,0.1347,0.0956
ablate_v_prediction,7650,12058,63.44335710731465,0.11358599999999999,0.1757,0.1086,0.1401,0.1055
scale_context3,10300,12459,82.67116140942291,0.10571100000000001,0.1451,0.095,0.1451,0.095
scale_context8,6050,11485,52.67740531127558,0.11632600000000004,0.1694,0.1124,0.1607,0.1124
scale_horizon8,7700,13759,55.96336943091794,0.10253400000000001,0.1632,0.0915,0.1407,0.0915
scale_horizon24,7700,10602,72.6278060743256,0.11652199999999997,0.1744,0.1117,0.1431,0.1117
